date,Ozempic,semaglutide,Novo Nordisk,weight loss drug
2018-11-13,18.571428571428573,5.0,40.120000000000005,4.363636363636363
2018-11-14,24.285714285714285,5.833333333333334,40.120000000000005,0.0
2018-11-15,20.0,9.166666666666668,44.2,9.454545454545455
2018-11-16,22.857142857142858,0.0,33.32,5.090909090909091
2018-11-17,10.714285714285715,0.0,21.76,0.0
2018-11-18,9.285714285714286,0.0,16.32,4.363636363636363
2018-11-19,27.142857142857142,4.166666666666667,46.92,4.363636363636363
2018-11-20,18.571428571428573,5.833333333333334,41.480000000000004,7.272727272727273
2018-11-21,22.142857142857142,9.166666666666668,36.04,3.6363636363636367
2018-11-22,11.428571428571429,0.0,39.440000000000005,3.6363636363636367
2018-11-23,14.285714285714286,4.166666666666667,31.96,0.0
2018-11-24,9.285714285714286,0.0,17.0,6.545454545454546
2018-11-25,10.714285714285715,0.0,15.64,5.818181818181818
2018-11-26,24.285714285714285,4.166666666666667,44.88,5.090909090909091
2018-11-27,20.714285714285715,7.5,41.480000000000004,8.0
2018-11-28,22.857142857142858,5.833333333333334,40.800000000000004,4.363636363636363
2018-11-29,27.857142857142858,5.833333333333334,46.24,4.363636363636363
2018-11-30,21.42857142857143,4.166666666666667,34.68,5.090909090909091
2018-12-01,14.285714285714286,0.0,14.280000000000001,0.0
2018-12-02,17.142857142857142,0.0,17.0,5.090909090909091
2018-12-03,24.285714285714285,6.666666666666667,42.160000000000004,4.363636363636363
2018-12-04,20.261398176291795,0.0,44.22575342465754,0.0
2018-12-05,14.121580547112462,5.314814814814815,41.31616438356165,6.704545454545454
2018-12-06,20.87537993920973,6.074074074074074,33.751232876712336,6.034090909090908
2018-12-07,18.419452887537993,0.0,41.31616438356165,0.0
2018-12-08,8.595744680851064,0.0,18.6213698630137,4.0227272727272725
2018-12-09,9.209726443768997,0.0,18.6213698630137,4.693181818181818
2018-12-10,17.805471124620063,4.555555555555555,42.480000000000004,5.363636363636363
2018-12-11,25.17325227963526,6.833333333333334,48.29917808219179,6.704545454545454
2018-12-12,22.717325227963528,5.314814814814815,33.751232876712336,6.704545454545454
2018-12-13,23.33130699088146,7.5925925925925934,37.82465753424658,4.693181818181818
2018-12-14,19.033434650455927,0.0,35.496986301369866,0.0
2018-12-15,12.279635258358663,0.0,18.6213698630137,4.693181818181818
2018-12-16,9.82370820668693,5.314814814814815,18.6213698630137,0.0
2018-12-17,17.805471124620063,0.0,38.98849315068494,5.363636363636363
2018-12-18,24.559270516717326,0.0,37.82465753424658,0.0
2018-12-19,19.64741641337386,0.0,33.169315068493155,0.0
2018-12-20,22.717325227963528,4.555555555555555,36.07890410958905,6.034090909090908
2018-12-21,18.419452887537993,0.0,27.350136986301372,0.0
2018-12-22,15.34954407294833,0.0,16.875616438356168,4.693181818181818
2018-12-23,17.19148936170213,0.0,13.384109589041097,4.693181818181818
2018-12-24,17.805471124620063,0.0,12.220273972602742,0.0
2018-12-25,12.893617021276597,0.0,17.457534246575346,0.0
2018-12-26,14.121580547112462,0.0,18.039452054794523,4.693181818181818
2018-12-27,20.87537993920973,4.555555555555555,23.858630136986303,6.704545454545454
2018-12-28,16.577507598784194,0.0,22.11287671232877,6.034090909090908
2018-12-29,12.279635258358663,0.0,12.80219178082192,5.363636363636363
2018-12-30,9.82370820668693,0.0,15.71178082191781,6.704545454545454
2018-12-31,17.805471124620063,0.0,12.220273972602742,5.363636363636363
2019-01-01,16.577507598784194,0.0,17.457534246575346,6.704545454545454
2019-01-02,22.717325227963528,4.555555555555555,40.152328767123294,6.704545454545454
2019-01-03,22.103343465045594,0.0,38.98849315068494,4.693181818181818
2019-01-04,27.01519756838906,0.0,38.98849315068494,5.363636363636363
2019-01-05,16.577507598784194,0.0,23.276712328767125,6.704545454545454
2019-01-06,11.66565349544073,0.0,23.276712328767125,4.693181818181818
2019-01-07,21.48936170212766,5.314814814814815,43.64383561643836,7.375
2019-01-08,28.857142857142858,8.351851851851853,44.80767123287672,5.363636363636363
2019-01-09,20.261398176291795,5.314814814814815,48.88109589041097,6.034090909090908
2019-01-10,22.103343465045594,0.0,40.152328767123294,5.363636363636363
2019-01-11,28.243161094224924,6.074074074074074,38.40657534246576,4.693181818181818
2019-01-12,9.82370820668693,0.0,19.20328767123288,6.704545454545454
2019-01-13,12.893617021276597,0.0,18.6213698630137,0.0
2019-01-14,25.787234042553195,0.0,41.31616438356165,6.704545454545454
2019-01-15,21.48936170212766,5.314814814814815,47.717260273972606,0.0
2019-01-16,25.787234042553195,6.074074074074074,41.31616438356165,6.704545454545454
2019-01-17,25.787234042553195,4.555555555555555,41.31616438356165,4.693181818181818
2019-01-18,19.64741641337386,6.074074074074074,34.91506849315069,9.386363636363637
2019-01-19,12.893617021276597,0.0,16.875616438356168,5.363636363636363
2019-01-20,11.66565349544073,0.0,16.875616438356168,4.0227272727272725
2019-01-21,23.945288753799392,4.555555555555555,37.82465753424658,8.71590909090909
2019-01-22,30.69908814589666,0.0,36.66082191780822,5.363636363636363
2019-01-23,31.31306990881459,0.0,48.88109589041097,4.693181818181818
2019-01-24,27.01519756838906,9.11111111111111,43.64383561643836,6.704545454545454
2019-01-25,23.33130699088146,6.074074074074074,43.061917808219185,5.363636363636363
2019-01-26,17.805471124620063,0.0,22.694794520547948,4.0227272727272725
2019-01-27,15.34954407294833,0.0,13.384109589041097,7.375
2019-01-28,25.17325227963526,5.314814814814815,31.42356164383562,6.034090909090908
2019-01-29,35.610942249240125,0.0,40.152328767123294,5.363636363636363
2019-01-30,25.17325227963526,4.555555555555555,47.717260273972606,6.034090909090908
2019-01-31,28.857142857142858,0.0,39.57041095890411,6.034090909090908
2019-02-01,22.717325227963528,4.555555555555555,57.02794520547946,5.363636363636363
2019-02-02,14.735562310030396,0.0,30.259726027397264,5.363636363636363
2019-02-03,14.735562310030396,0.0,21.530958904109593,5.363636363636363
2019-02-04,28.243161094224924,5.314814814814815,45.97150684931508,6.034090909090908
2019-02-05,26.401215805471125,6.833333333333334,49.46301369863014,4.0227272727272725
2019-02-06,22.103343465045594,4.555555555555555,49.46301369863014,4.0227272727272725
2019-02-07,30.69908814589666,4.555555555555555,49.46301369863014,5.363636363636363
2019-02-08,21.48936170212766,5.314814814814815,46.55342465753425,0.0
2019-02-09,18.419452887537993,0.0,22.694794520547948,0.0
2019-02-10,9.82370820668693,0.0,20.367123287671234,0.0
2019-02-11,26.401215805471125,5.314814814814815,50.04493150684932,3.352272727272727
2019-02-12,22.717325227963528,6.833333333333334,56.44602739726028,6.704545454545454
2019-02-13,22.717325227963528,5.314814814814815,48.29917808219179,6.034090909090908
2019-02-14,22.103343465045594,7.5925925925925934,45.97150684931508,4.693181818181818
2019-02-15,22.717325227963528,5.314814814814815,43.061917808219185,5.363636363636363
2019-02-16,10.437689969604865,0.0,19.785205479452056,4.693181818181818
2019-02-17,10.437689969604865,0.0,18.039452054794523,4.693181818181818
2019-02-18,21.48936170212766,0.0,42.480000000000004,7.375
2019-02-19,33.15501519756839,5.314814814814815,50.04493150684932,8.045454545454545
2019-02-20,27.629179331306993,6.074074074074074,51.20876712328768,9.386363636363637
2019-02-21,27.629179331306993,5.314814814814815,51.79068493150685,4.0227272727272725
2019-02-22,22.103343465045594,5.314814814814815,40.152328767123294,6.034090909090908
2019-02-23,19.033434650455927,0.0,22.11287671232877,7.375
2019-02-24,19.033434650455927,0.0,23.276712328767125,4.693181818181818
2019-02-25,23.945288753799392,5.314814814814815,42.480000000000004,6.704545454545454
2019-02-26,27.01519756838906,8.351851851851853,46.55342465753425,8.045454545454545
2019-02-27,28.243161094224924,6.074074074074074,40.152328767123294,6.034090909090908
2019-02-28,23.945288753799392,0.0,43.64383561643836,6.034090909090908
2019-03-01,29.47112462006079,6.833333333333334,40.152328767123294,5.363636363636363
2019-03-02,25.17325227963526,6.074074074074074,17.457534246575346,0.0
2019-03-03,15.963525835866262,0.0,18.6213698630137,5.363636363636363
2019-03-04,28.243161094224924,6.833333333333334,50.6268493150685,4.693181818181818
2019-03-05,29.47112462006079,6.074074074074074,58.19178082191782,5.363636363636363
2019-03-06,30.085106382978726,0.0,54.700273972602744,3.352272727272727
2019-03-07,31.31306990881459,6.833333333333334,50.04493150684932,6.704545454545454
2019-03-08,27.01519756838906,5.314814814814815,44.80767123287672,5.363636363636363
2019-03-09,17.19148936170213,0.0,23.858630136986303,4.693181818181818
2019-03-10,15.963525835866262,0.0,20.949041095890415,0.0
2019-03-11,29.47112462006079,3.7962962962962967,43.061917808219185,5.363636363636363
2019-03-12,28.857142857142858,4.555555555555555,44.80767123287672,4.693181818181818
2019-03-13,26.401215805471125,6.074074074074074,41.31616438356165,5.363636363636363
2019-03-14,26.401215805471125,6.074074074074074,41.31616438356165,0.0
2019-03-15,25.787234042553195,4.555555555555555,46.55342465753425,0.0
2019-03-16,16.577507598784194,0.0,24.440547945205484,4.693181818181818
2019-03-17,13.50759878419453,0.0,20.949041095890415,0.0
2019-03-18,28.857142857142858,3.7962962962962967,37.82465753424658,6.704545454545454
2019-03-19,28.243161094224924,9.11111111111111,47.13534246575343,7.375
2019-03-20,30.69908814589666,6.833333333333334,48.88109589041097,3.352272727272727
2019-03-21,27.629179331306993,6.074074074074074,49.46301369863014,4.0227272727272725
2019-03-22,28.857142857142858,7.5925925925925934,48.88109589041097,4.693181818181818
2019-03-23,15.963525835866262,0.0,32.587397260273974,6.034090909090908
2019-03-24,15.963525835866262,6.833333333333334,20.367123287671234,4.0227272727272725
2019-03-25,28.243161094224924,9.11111111111111,45.389589041095896,7.375
2019-03-26,30.69908814589666,8.351851851851853,46.55342465753425,6.034090909090908
2019-03-27,25.787234042553195,6.833333333333334,44.80767123287672,7.375
2019-03-28,31.31306990881459,6.074074074074074,47.717260273972606,5.363636363636363
2019-03-29,28.243161094224924,8.351851851851853,43.64383561643836,7.375
2019-03-30,16.577507598784194,0.0,19.20328767123288,0.0
2019-03-31,18.419452887537993,0.0,18.039452054794523,0.0
2019-04-01,30.085106382978726,5.314814814814815,43.061917808219185,6.704545454545454
2019-04-02,28.857142857142858,6.833333333333334,48.29917808219179,8.045454545454545
2019-04-03,31.927051671732524,6.833333333333334,45.97150684931508,6.034090909090908
2019-04-04,28.243161094224924,8.351851851851853,45.389589041095896,4.693181818181818
2019-04-05,29.47112462006079,6.833333333333334,44.22575342465754,4.693181818181818
2019-04-06,20.261398176291795,0.0,16.875616438356168,4.693181818181818
2019-04-07,20.261398176291795,0.0,22.694794520547948,0.0
2019-04-08,28.243161094224924,6.074074074074074,40.152328767123294,8.71590909090909
